 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C022, C023, C024, C025, C026, C027, C028, C029, C030, C031, C032, C033, C034, C035, C036, C037, C038, C039, C040, C041, C042, C043, C044, C045, C046, C047, C048, C049, C050, C051, C052, C053, C054, C055, C056, C057, C058, C059, C060, C061, C062, C063, C064, C065, C066, C067, C068, C069, C070, C071, C072, C073, C074, C075, C076, C077, C078, C079, C080, C081, C082, C083, C084, C085, C086, C087, C088, C089, C090, C091, C092, C093, C094, C095, C096, C097, C098, C099, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124
Time(s)/Cell Status,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1
0,-0.5145926,7.191321,-3.442665,-1.678977,-1.883864,3.873615,15.52117,1.759492,34.6742,15.45339,0.03085939,12.04341,-1.542964,-0.3632743,2.269368,0.7431579,-2.530691,7.520823,3.780571,6.533894,-0.6139575,-0.4485644,0.8316054,2.072452,1.543225,1.266858,5.380871,19.2041,1.5346,1.851136,21.20173,0.1759724,9.626375,2.471225,4.238529,1.346519,7.566067,1.173365,2.976187,5.746393,3.388021,2.69505,3.417396,-0.08036434,2.672841,2.442545,3.90168,0.0093524,1.453264,6.512061,4.394169,2.47856,6.474544,4.534521,-2.110644,8.22249,0.6294037,5.498187,6.29062,-1.060496,24.45053,7.087295,5.599347,8.29894,11.12461,7.059097,3.108134,-0.7167683,-0.9065607,4.644328,4.615479,2.077745,6.75656,5.645838,1.877477,21.9458,1.97791,5.413093,3.592513,1.328309,-0.3970445,9.355925,-4.630786,0.762531,-1.976879,0.468115,16.17822,13.45722,4.90572,5.616085,-0.999198,4.435607,-0.3447898,2.481474,7.576503,6.063524,13.89103,1.497986,0.861415,0.4651116,1.126582,9.149849,14.18347,12.46402,3.144404,3.494676,3.870922,3.592082,0.6267345,2.236269,1.675012,5.659175,4.46711,1.866636,3.207024,11.06302,2.134057,4.799439,6.320488,20.52148,11.96336,11.68151,13.71774,3.866681,36.96058
0.09992,-0.54873,5.599144,-5.694933,1.814319,-2.268427,2.352704,13.65728,-0.631246,33.53578,14.52669,-0.2821763,9.784184,-1.312404,1.026674,1.901231,0.05016406,-1.044313,7.026346,1.702194,9.093113,0.04468514,1.250247,2.533751,0.8268929,1.746542,1.65833,5.47897,20.16003,1.15302,2.836876,22.10187,1.913202,7.717163,-1.953393,6.273314,3.083643,6.801029,0.3757281,3.374111,5.8737,2.160226,1.101264,4.141209,2.155432,3.497391,3.00544,3.08331,-0.7912128,0.7885282,5.789866,2.437316,0.7762057,5.927295,6.21777,-1.43125,8.232465,0.3118004,5.228944,4.331279,1.312815,27.36354,8.349201,5.245533,7.071104,17.03104,5.768487,1.833065,0.1199348,-1.562784,3.765224,2.402918,2.394837,6.406286,5.645838,2.501284,20.93809,0.7285973,5.595946,2.453649,0.7541382,0.5247331,11.94764,-2.854276,1.373155,-0.9962147,-0.9151664,17.66351,10.39248,6.507224,5.877529,-0.539068,3.89812,1.988669,2.239991,9.463784,7.661994,11.69589,1.411516,-0.7994354,1.612685,-0.0227629,8.684608,14.07866,8.132685,5.793102,4.770646,5.134143,3.472563,3.918441,1.702417,2.91053,5.498411,4.848858,3.002467,3.698812,13.48776,1.730547,5.984561,6.320488,26.59829,13.41578,10.93241,16.18163,3.866681,37.10798
0.19984,0.123526,6.578014,-6.479525,2.263651,-2.086921,2.363581,14.50492,-0.8024359,34.53353,14.05775,0.05477018,11.40219,1.078566,1.11543,1.693153,1.373136,-2.477757,6.781814,1.88686,7.667394,-3.957223,0.7725356,0.6924109,0.8055285,-0.291103,3.278871,3.302434,20.00814,2.886518,3.896621,23.65565,0.5845643,8.644773,-1.013255,6.253405,1.534354,8.611282,-1.182458,3.402278,2.658253,3.289588,-0.5837749,3.09078,0.622807,1.937675,3.782828,3.911676,2.426552,1.726533,5.435994,0.5556939,2.180358,5.373941,4.922328,-0.4253966,6.17816,-0.5975615,3.892769,5.944545,0.7840794,27.57114,14.8174,4.051779,7.844115,24.26599,6.566954,2.183803,-0.5155869,-1.587201,4.635177,2.86791,0.5105889,7.230118,5.645838,3.175385,19.75863,-1.894167,6.746096,1.238413,1.464412,0.5849354,14.67567,0.1423173,-0.5428099,0.7511182,1.114778,20.77716,15.03486,5.117077,3.861401,-0.02765761,2.428515,2.939852,4.140802,7.915388,5.164443,11.56533,1.869551,0.8088755,0.7599704,-2.188493,7.046005,13.53463,9.82668,5.080534,5.857367,3.209217,2.34242,4.129094,-1.584968,1.813416,4.804072,7.68275,1.953414,3.356149,13.52857,0.8300638,6.751091,6.320488,26.88704,11.93407,10.21936,15.86512,4.422408,37.50394
0.29976,0.2530459,7.583793,-6.046363,-0.2313922,-2.138788,4.60689,12.01962,0.7779793,34.73329,14.37112,-0.3300068,11.07958,-0.128875,0.5635415,1.373129,-1.148945,-2.094312,7.373669,3.009379,7.732284,-0.5238974,-0.9839034,-0.6069889,2.726379,2.128106,2.775753,4.503998,19.33218,2.558545,3.209183,20.59359,2.388075,7.904176,-0.4138502,5.204583,1.872506,9.241333,0.7289417,3.14256,3.737085,2.400386,0.5161962,4.141008,-0.002059501,5.771437,3.64651,3.229044,-0.4768466,0.4720425,5.707569,1.029753,3.70561,5.290798,3.958991,-2.408693,6.682713,2.31179,5.787807,5.769818,-0.0141721,28.33244,26.71377,6.152418,6.472881,27.79416,6.750774,-0.2781295,0.7045513,0.4086771,4.625821,1.404312,1.608786,5.164669,5.645838,3.429475,18.87625,-0.9203054,3.526228,2.588103,0.8786563,-0.3258026,15.01401,-1.320611,-1.467538,-0.471716,0.2325398,23.05113,16.564,5.40832,5.071093,1.615342,3.307568,2.440238,1.825944,7.618865,6.980605,11.69489,1.517703,1.310579,0.4848182,1.211663,8.864696,15.16977,8.515395,4.374417,3.964192,3.664329,0.9016475,3.694171,0.8104805,4.622981,5.641009,6.597834,3.231236,3.700171,13.80799,1.503303,6.984905,6.320488,30.91345,13.78914,11.60352,15.3781,7.770615,37.65961
0.39968,0.7584736,9.100943,-6.269612,-0.4194357,-1.935711,3.699344,13.71182,0.7101177,35.38062,14.64845,-0.6022547,10.08772,1.984013,1.905218,2.106419,-0.6146517,-1.85691,5.475912,0.396029,10.38575,-0.1846336,1.037855,-2.249817,3.583555,1.005196,1.246802,5.166511,22.11853,3.011745,1.805917,22.92127,0.2092633,6.649977,0.1521503,7.710656,2.938842,8.345506,0.2411725,0.2711168,4.013737,1.420931,1.125943,1.216893,-0.09339923,5.515849,2.179801,2.702013,2.02147,-0.5152029,5.182322,3.075866,4.904524,5.885494,2.539743,-2.383908,5.302141,1.025571,3.136047,5.529658,-0.4770342,28.48562,40.36694,6.34535,5.405914,30.23879,3.826913,0.1205167,-2.17962,0.02883266,6.708435,2.259883,0.9478266,3.25576,5.645838,1.927743,19.50811,-1.009397,3.159413,2.087192,1.29939,-1.541875,13.80865,-1.292439,0.06586899,-1.311687,0.8904309,25.60036,15.34663,6.45451,3.119482,1.246941,2.294487,2.064292,1.264319,10.53737,5.489899,13.76557,1.700715,1.62646,0.4273057,1.762215,6.212681,14.90695,8.755357,2.09574,8.327607,3.538746,1.964168,0.8458518,-1.672776,3.155729,4.377717,6.109676,1.003902,4.074909,15.05756,2.595544,5.689687,11.21452,32.30162,13.39598,10.89084,14.91268,10.66446,39.75665
0.4996,0.538269,8.830031,-4.425567,0.6757907,-1.565956,3.001703,14.71572,-1.722294,38.63183,13.48889,-0.6230891,8.648355,1.560984,-0.3243452,3.295422,-0.4383458,-2.09221,5.547147,1.117745,8.432353,-0.416593,-0.5978936,-2.548529,2.77287,-1.485228,4.141148,3.149027,19.36552,0.8467554,2.246653,23.05883,0.9029437,8.512001,0.2977968,5.712857,3.632938,8.96054,0.05912435,3.672641,2.17598,1.951802,0.3282413,3.381722,0.9807799,4.888823,3.451617,1.569521,-0.2451575,1.822059,5.298838,0.3813088,3.542258,6.988913,5.597356,-0.5537916,6.28303,0.1953035,4.18105,3.83553,-2.156814,31.04031,47.93008,6.602075,7.150301,33.65516,5.862556,-0.9101,-1.399004,0.8383756,5.333255,-1.039599,1.532899,6.05472,5.645838,1.765023,20.53369,2.142561,5.897807,2.621428,-0.3145066,-0.7768658,17.25656,-2.039241,-1.029816,-2.075191,0.172788,27.16272,14.32433,6.750122,3.316168,3.591347,4.046381,-0.5274415,-0.01062895,9.924151,5.296983,11.05267,1.908996,2.510695,3.130115,0.2558098,4.479397,13.71305,8.074872,2.42976,16.71833,4.087368,2.086689,3.241951,0.9500153,0.8025141,7.066804,6.033744,3.938102,3.400838,14.13824,0.2431956,3.61594,10.99846,37.19894,10.40913,10.1803,15.04792,19.99527,43.43286
0.59952,-0.6481405,7.146801,-5.793983,-0.4580518,-0.3422646,0.5379487,12.8271,-0.6848298,38.51254,12.99389,0.1802657,6.91311,1.740555,0.1589062,2.9985,-1.139091,-0.9941754,4.382499,-0.1369931,8.605814,0.1659513,-2.529262,0.0925102,3.111503,0.6412683,1.52453,3.472561,20.16003,2.317919,2.125326,23.70942,0.2249404,5.91314,0.9036579,5.861181,2.941465,7.637653,0.08753451,2.350707,5.18198,0.616393,1.781448,2.69342,1.012954,5.069474,1.5728,1.832087,0.7596877,-0.1930526,5.881593,1.472752,3.785695,5.404269,2.336061,-1.989612,4.420597,-0.1039852,2.791531,4.176045,2.650496,29.46357,55.24418,7.162529,5.334347,34.36702,4.938014,-1.903423,-0.4297157,-0.5093982,4.369132,-0.9150662,0.9785506,3.359392,5.645838,0.220285,19.75454,1.048317,4.838588,1.029669,-0.3951697,-2.025635,16.21711,-2.682189,-0.9558908,-1.541072,0.5565364,31.8228,16.46619,7.542645,0.939916,1.691667,-0.8026798,2.567363,0.7604838,9.496191,3.908157,10.77431,1.492414,5.411289,2.995775,0.4383368,4.722236,12.1504,7.955537,3.251599,22.8424,2.977991,1.244875,1.236255,0.7385705,0.8671318,5.746367,5.85005,3.086297,1.168625,15.03492,0.4344549,3.818558,14.53914,38.94577,11.67021,9.503903,14.59683,25.49507,44.08642
0.69944,-0.6150184,8.395755,-4.057621,-2.076743,-0.2019133,3.892109,10.42176,-1.50134,38.19117,12.68543,-1.065414,9.258341,1.210943,1.890389,3.576585,-0.3811541,-0.6157996,5.522871,-0.9040989,10.28537,-1.322349,0.1963716,-3.032643,3.296797,-0.4542304,2.088454,4.040888,21.22816,2.64661,2.428237,22.60718,1.613493,7.067923,0.3532728,5.841474,3.797903,7.170552,0.03695668,4.089078,3.228385,2.6987,-0.08933664,2.353342,1.648798,3.357489,3.496217,1.634504,0.909514,2.284851,2.042388,0.3853834,2.849446,7.432715,1.732808,-0.7828596,5.570277,-0.6921777,2.214635,3.870948,-1.414907,27.11287,68.16811,7.066958,5.44034,28.74741,5.688897,-2.9269,-1.109148,0.3292043,5.990846,-3.004054,1.78552,5.171155,5.645838,0.3409721,18.17536,1.34365,3.983191,3.580442,0.4593049,-2.550253,16.81085,-1.990265,0.3263867,-1.526036,-1.325803,31.86457,14.95715,8.611322,0.7639765,-0.3620102,1.790159,1.436898,0.4567928,9.088311,4.683008,9.940413,0.818349,2.654324,2.900892,-1.088052,2.966882,12.22496,9.820991,3.555471,29.58027,3.443906,-0.1945066,4.127785,1.033848,1.94109,4.983221,6.594266,1.757765,0.905665,14.50536,0.1209218,2.889381,15.31815,38.28499,10.65157,8.860003,14.16576,27.22879,44.02964
0.79936,0.1094638,7.66929,-4.587481,-2.527623,0.5540416,0.9773407,10.9974,-2.396229,38.60711,12.74296,-1.0749,7.864657,1.720974,2.555127,3.816707,1.243376,-1.278535,6.507125,-0.09273504,7.642185,0.1449471,-0.1130149,-2.754016,2.381514,1.548303,0.1305603,1.841977,19.14406,-0.1005531,1.727512,24.56476,1.309621,7.139856,1.526996,6.720472,1.56697,6.744433,1.984376,1.615166,3.81121,2.156013,0.3095809,3.035546,1.41902,4.075854,0.1861437,0.4587904,2.433705,0.2557816,4.140587,1.692389,2.916744,5.867721,1.317125,-0.6255695,5.05613,-0.9611034,2.291478,4.41145,0.109285,28.31477,70.21809,4.84683,3.503139,27.83674,5.93658,-1.750319,0.5268544,-0.05130897,4.353446,0.02672924,-0.07952206,4.53339,5.645838,-0.3820239,17.9436,2.711472,-0.02490244,1.341758,0.9018726,-0.8849642,17.02979,0.563328,-1.479891,-0.796948,-0.09127332,31.76744,15.54152,7.986351,2.790873,0.9370045,3.750664,0.4650898,-0.9879382,11.61759,5.313437,10.09903,2.908681,3.32304,2.168181,0.6520552,3.359926,12.87365,7.800458,3.274076,24.89917,3.042324,-0.4911242,3.90284,1.657242,0.3202921,4.706628,4.825695,2.387165,0.6398745,14.41737,-0.8198087,4.51083,18.91725,40.1845,8.044948,10.60429,14.35678,30.20048,42.41029
