 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C022, C023, C024, C025, C026, C027, C028, C029, C030, C031, C032, C033, C034, C035, C036, C037, C038, C039, C040, C041, C042, C043, C044, C045, C046, C047, C048, C049, C050, C051, C052, C053, C054, C055, C056, C057, C058, C059, C060, C061, C062, C063, C064, C065, C066, C067, C068, C069, C070, C071, C072, C073, C074, C075, C076, C077, C078, C079, C080, C081, C082, C083, C084, C085, C086, C087, C088, C089, C090, C091, C092, C093, C094, C095, C096, C097, C098, C099, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122
Time(s)/Cell Status,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1, undecided,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1
0,8.349138,2.470933,0.2403784,-1.853325,3.00479,-0.09785551,7.336565,4.237246,35.37751,4.743571,2.053787,6.97752,7.484166,1.329443,0.3781617,-0.8020304,-0.3357719,3.407996,-2.081426,6.33596,6.01381,1.934137,1.332604,2.647118,9.468925,11.24744,5.753849,12.55562,2.878252,2.823667,9.788741,4.486746,2.28091,20.29839,0.631135,6.947695,-0.2722664,-0.7571243,1.354176,-0.2856156,2.105424,0.964971,10.12704,-0.9246838,4.281193,-0.7214252,3.058632,7.740208,3.802987,1.557914,4.972379,-2.927796,0.2734619,1.014903,0.707239,0.4374459,-0.3906835,-1.341913,12.22056,1.450735,3.037152,10.06167,8.939013,12.2661,5.583923,14.29219,2.935957,6.119329,-1.278208,6.459648,2.407637,15.31729,9.172133,0.5768083,0.3616181,3.11516,12.34941,2.630347,8.851841,11.85371,3.112233,20.90301,0.5264537,-1.349206,6.533762,11.79373,1.908536,13.56047,13.13675,1.320664,21.59097,3.211102,-1.673481,0.4567983,23.78908,1.015832,1.523724,3.345133,12.33101,2.875444,0.9314355,7.876556,-1.223133,1.739633,1.290996,13.52736,10.54729,34.03342,4.152295,2.262655,2.239988,4.242336,12.3845,31.5388,2.733587,9.230678,4.965384,7.141935,16.21548,1.053974,2.633806,-1.265235,4.892652
0.09992,7.274889,2.720522,0.572841,-1.570838,2.394231,0.06972489,6.992058,4.353317,33.36022,8.516418,4.251099,19.71224,9.603794,0.6264038,2.359903,-0.577444,2.524133,3.354408,-0.2935527,2.155344,6.122398,1.746431,-0.1089795,0.5182576,6.409195,11.90672,9.026544,11.52545,0.8723267,2.74111,8.284176,1.791908,4.12369,19.05163,-0.4505278,4.892024,0.3807439,-0.6438562,-1.062678,1.86257,3.121125,1.778061,10.08997,-0.3265013,6.053912,-0.3701696,4.068592,4.713226,4.745478,0.6647075,5.218635,0.6312612,0.8328131,-0.9310064,-1.86031,1.089305,-2.220238,-2.402782,13.66329,0.551406,2.62754,8.967128,7.680468,11.3433,5.118136,14.56646,2.859005,3.576505,-1.565703,8.296959,-0.6090103,18.51505,9.809892,0.5998676,-1.481166,3.61974,11.17682,2.404306,10.8597,8.724157,3.083481,29.59669,1.702455,-1.425418,5.776478,7.083527,-0.3934118,14.22786,12.0703,-0.6272097,21.94984,3.696662,0.9980062,0.9854844,25.81011,0.8492373,3.591864,3.195946,13.57477,3.248829,1.971444,7.308133,1.358758,4.940806,2.347407,12.48763,9.924581,28.79374,5.753672,1.931593,1.970759,5.339055,11.28503,33.23901,0.2187708,8.638276,3.321025,5.421481,17.19813,0.2182262,2.396791,-1.358995,7.556119
0.19984,7.471711,1.935281,-2.274311,0.0075766,2.29173,1.349387,2.720605,5.742653,35.2064,8.697816,4.650592,26.50725,10.32104,-0.1518384,2.675644,1.952633,1.225041,5.024477,-1.026741,2.310224,3.936113,-0.6582423,0.9237972,2.304716,7.625149,10.60993,7.086554,11.77611,0.004270476,1.120148,9.089846,0.9487754,1.089824,16.6161,0.000750588,7.789474,2.332786,1.001841,0.9367903,0.9510441,0.7581317,2.44103,10.29145,3.7139,9.296422,-0.4927047,1.955501,6.023764,4.200226,0.04502965,5.592999,2.864971,0.6775645,0.5350962,-0.5267861,0.7459589,-0.1031442,-1.341134,11.29709,1.428404,2.716788,10.95231,7.684884,9.40087,5.280526,12.64007,0.6223121,3.650967,5.670644,7.068521,-2.226118,21.14642,8.430829,2.563695,-1.201319,6.944998,8.796655,4.201066,9.169881,7.047654,1.210877,37.5745,1.719803,-1.470575,6.68099,8.95258,0.1635883,11.51817,10.13936,-1.253724,21.8703,4.403501,1.390423,0.1114127,23.54336,-0.2241371,2.887576,1.187355,9.37875,4.648708,2.566149,5.451021,1.876321,5.082366,3.008837,10.80812,10.02742,27.59307,7.593882,1.648126,2.869546,4.485478,14.7835,38.60231,0.1570878,8.302327,3.036828,7.182406,20.37578,-0.1233248,12.41636,-1.448008,11.13192
0.29976,7.898077,2.799293,0.9618853,-1.118673,3.505939,1.047915,4.714128,6.526145,33.74155,6.806892,3.374272,23.33782,11.53173,0.4989049,-2.614595,-0.6622105,2.122637,5.487012,-1.738899,0.9135608,2.94709,-2.146675,2.121192,4.850206,9.525492,10.25341,2.846667,11.1185,2.566837,1.432481,7.590647,1.79608,1.549847,19.05741,-0.47111,7.052936,2.135457,0.6639851,2.210404,1.183715,1.807676,-0.1226991,9.707828,0.4117328,13.51728,0.008541876,2.604131,7.847222,6.436216,0.9608403,3.839338,4.132055,3.065479,1.35005,0.894516,0.3436999,-1.193483,-1.014748,11.02199,0.06374548,1.973329,7.359213,7.068448,11.02666,6.391207,13.65916,1.840333,5.296605,16.82133,7.436512,0.4316424,24.15784,11.44137,1.164599,0.7375228,4.476187,11.58512,2.252722,8.491553,7.582059,2.703912,36.4485,2.574347,-0.7045866,8.350047,8.263698,-2.376667,11.02991,9.701754,1.523847,22.40157,4.349636,1.931885,0.5943003,22.60112,4.104075,2.782743,1.704963,9.427147,8.030449,2.99918,7.460627,6.395163,4.694418,4.570514,12.84429,9.660419,25.63323,7.827263,2.335693,2.538698,4.723882,13.83216,44.64932,-0.7904723,6.491374,3.387839,11.67985,21.75082,-1.127773,20.05086,-1.532516,10.91241
0.39968,5.449815,1.309061,0.1146513,0.6697724,4.36966,0.0360802,3.521039,4.506806,32.89135,5.722258,2.652835,19.32855,14.94852,0.7911974,0.04227326,-1.760644,0.08685395,6.981198,2.613566,1.832371,4.883358,0.7415596,2.008814,3.237749,8.013007,12.51278,3.946255,12.78609,-0.02403507,2.093058,6.49551,1.179684,1.863876,20.09613,0.220394,5.630038,-0.25336,2.158593,3.592594,2.661126,2.253609,-0.5416083,8.290522,4.161105,13.73932,3.346319,1.034826,6.692803,6.655488,1.318322,3.019001,2.578889,6.274891,2.736445,1.010755,2.100802,0.09658919,0.19409,12.99823,0.5436819,0.3239569,8.944159,5.334629,10.4436,6.256902,14.24645,2.279095,4.654081,24.606,7.363303,1.5879,23.00391,12.25458,0.3407044,-0.08907367,3.624879,12.21839,3.208979,7.502406,7.11267,1.46366,35.46359,1.818967,0.3344907,7.445554,8.130789,0.7454572,11.33571,8.37646,1.12612,20.0739,3.55755,2.22827,0.3146971,23.93978,3.825085,2.87423,1.157531,11.33107,7.977529,2.932474,7.233372,5.481576,6.165264,2.423855,15.08785,9.042141,24.12398,17.68909,3.159868,2.782589,7.469603,15.27439,47.92053,0.7729718,7.891991,1.492921,8.78915,19.74875,-0.3545745,19.01016,-1.612746,13.41726
0.4996,6.473555,2.685519,-0.4352451,0.663855,4.012976,2.02391,4.385319,5.269168,31.60166,10.35223,3.721781,18.1664,19.86963,0.9984387,-1.458169,-1.07491,1.643805,10.16889,2.370564,-0.8101927,5.145391,0.8203961,2.078545,4.489011,10.12069,11.08114,4.553812,13.50053,1.601551,3.269936,7.089694,0.9940367,-0.1956493,19.44369,-0.5328963,5.68037,1.599659,2.158472,1.581949,0.8505318,0.981842,-1.546738,8.697522,1.361152,13.83003,2.593202,2.535278,7.529466,6.358325,0.4359759,4.131462,0.6979354,5.037103,2.683842,0.2885557,0.7421151,-1.788576,-1.764611,11.23199,0.2758199,2.528449,7.925295,7.475923,9.743221,4.877361,12.32867,1.174641,5.872551,27.68004,7.653752,2.166109,23.59527,15.22366,0.02570445,-1.684016,4.783938,12.22532,4.880919,10.17329,7.856804,0.45166,34.4723,0.8645675,-3.183604,7.935867,9.730728,0.1872996,11.00591,8.340615,0.2985909,20.72865,3.504142,2.48005,-0.07960372,19.70213,1.286889,4.044855,-0.2706607,6.332809,10.68222,-0.127442,6.584552,6.16496,7.231863,3.433975,11.83977,8.371037,21.77947,27.89511,5.126668,2.31075,5.516088,13.41312,52.42359,-0.6945671,8.421662,1.487364,9.50773,19.67187,-0.4115879,18.0175,-1.688914,13.00034
0.59952,6.295055,1.561309,-0.8386167,0.1672925,4.92561,0.03550074,4.815054,4.081038,30.62824,5.731038,1.87856,17.61248,19.34996,0.06521601,0.06800302,-0.1752618,-1.089634,9.835588,1.013734,1.302741,3.206735,0.09692463,2.20172,2.579287,7.959796,16.3512,4.068391,14.51064,1.122705,2.717113,6.759922,-0.6031172,1.615969,19.9663,-2.110996,7.934149,1.434708,2.423158,1.997867,1.150938,0.04195468,1.267265,9.929203,1.354549,16.86795,1.5849,1.741811,6.758325,5.894739,0.9871402,4.579049,0.438287,3.040854,1.683839,-0.7758525,4.316369,-0.4033556,-1.045797,11.02101,0.6479239,2.717645,5.990132,3.677062,9.327602,5.989264,11.01327,1.047052,5.574271,30.86785,7.879889,-1.384552,20.73587,13.48445,0.3131713,1.166111,4.987077,12.39121,5.703566,6.522527,6.882413,1.243324,32.70181,2.014011,-0.03375753,7.794928,7.953465,-1.187357,10.88707,9.477125,-0.6657913,20.22042,4.678848,1.821779,0.07659838,24.34691,-2.344541,2.878537,-0.2750369,6.725809,8.591347,1.090258,4.414817,8.718232,6.915323,1.169453,13.03299,6.546645,20.54536,31.72744,5.893751,4.653909,4.837522,13.24232,53.14121,-0.6433167,9.137982,2.586815,7.529465,17.8751,0.8540684,17.07065,-1.761226,12.60273
0.69944,5.403407,2.331169,-1.474974,1.841654,4.53284,-1.06836,5.886987,6.583551,29.6707,5.678275,1.49708,16.06096,21.39738,2.492401,-0.7447811,-0.7669495,0.6238005,9.301137,2.455818,0.6326482,3.457247,-0.04305192,3.390838,3.224947,8.828471,13.53361,1.603665,15.56977,3.964108,0.04717179,7.279207,1.860124,1.109019,20.0976,0.08807907,4.564981,1.728094,1.599251,1.258426,1.42259,0.519195,0.2899928,8.378314,0.02781552,15.20799,6.067875,2.900193,6.837876,6.391845,2.127651,5.998092,2.446538,5.259166,2.583998,1.115701,4.3854,0.174193,1.046935,12.66222,2.694216,1.560589,8.820624,6.282646,9.984339,7.862683,12.73747,1.500782,6.167916,33.24022,9.494725,1.987492,20.75164,15.29049,1.359736,-0.5344692,2.951416,13.83329,2.586227,8.067093,5.652887,3.106962,31.10374,2.070308,-0.8113019,8.60136,7.643983,-1.264296,11.35171,10.04676,0.3655018,21.56334,4.773673,2.426264,0.01903933,26.32635,-0.1989645,1.87276,-0.1193318,7.197581,10.07971,1.726417,4.143627,4.554451,7.769631,3.463446,11.84994,5.050308,20.63744,37.45969,5.974469,0.2571779,4.077417,12.74959,54.64743,1.400308,9.326507,-0.382658,6.023966,16.11674,0.2839658,16.1675,-1.829878,12.63616
0.79936,5.707281,2.659507,-2.001355,1.753675,5.434947,1.541321,5.154685,5.816572,26.59451,7.022115,0.4987409,15.37243,25.20499,1.022678,1.323038,-0.1835152,0.08569418,10.30333,0.5503333,0.4974154,2.215194,3.080191,1.710682,1.921127,8.546331,13.70251,3.571893,15.28432,2.625322,1.692869,7.968374,1.773888,0.4332659,18.68778,0.04659126,6.420412,2.260749,-0.1822606,2.253543,-0.7925972,1.547469,1.89424,7.627952,0.6538432,14.60873,3.074422,1.633918,7.164256,5.306398,1.474497,3.887963,-1.217187,6.077961,1.739795,0.2255272,2.496571,1.96264,-1.082383,10.13276,2.104672,2.776353,6.713327,5.196095,7.364738,7.06393,11.23456,1.449698,4.245152,32.95611,9.080215,-1.69132,18.04556,12.05088,1.14224,-0.116267,4.250228,13.61135,4.916858,8.178138,6.103001,2.726951,29.79937,2.343512,0.3976122,7.859705,6.721437,-0.0841636,10.30999,8.724385,-0.9767611,20.4127,3.017095,4.243262,-0.6243385,26.26922,0.3294645,1.674057,0.08940369,5.436322,9.427459,0.24679,3.780043,8.742088,7.991997,2.413618,11.18659,6.118975,19.3262,40.8345,6.009142,3.362307,5.236537,12.95084,51.98425,0.2840864,10.84021,1.029712,8.01069,17.28851,-1.204831,15.30604,-1.895054,12.44542
