 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C022, C023, C024, C025, C026, C027, C028, C029, C030, C031, C032, C033, C034, C035, C036, C037, C038, C039, C040, C041, C042, C043, C044, C045, C046, C047, C048, C049, C050, C051, C052, C053, C054, C055, C056, C057, C058, C059, C060, C061, C062, C063, C064, C065, C066, C067, C068, C069, C070, C071, C072, C073, C074, C075, C076, C077, C078, C079, C080, C081, C082, C083, C084, C085, C086, C087, C088, C089, C090, C091, C092, C093, C094, C095, C096, C097, C098, C099, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C140, C141, C142, C143, C144, C145, C146
Time(s)/Cell Status,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1, undecided,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1
0,5.401685,0.6560766,15.16346,7.106121,15.38974,-0.3091871,-5.370287,7.70329,0.3851654,4.340734,7.415481,1.619408,7.907117,-2.520527,14.27312,8.312861,3.993369,1.401993,1.776672,2.431494,-0.9607178,1.495677,3.360172,0.5679178,0.2475234,1.980639,12.01069,4.7783,7.491392,2.93469,2.735491,-1.436981,5.752813,1.433622,1.186752,2.614066,20.37278,1.46843,1.619742,-0.9230503,-0.3300318,5.022329,2.072956,10.72794,10.4413,23.05061,-0.3739075,6.102655,0.08269613,6.336799,-1.852589,2.113806,10.17774,1.879441,3.61727,4.392879,2.48327,14.28546,17.69176,3.917938,-3.800038,0.8550875,2.951573,2.557038,1.630156,0.717954,0.9571249,1.054917,9.809717,0.318165,-0.8886108,8.203862,0.6561647,2.766587,1.401945,-0.730959,1.887919,2.420013,4.473596,11.6482,4.844479,-0.3579696,3.009314,6.574986,7.879325,3.258893,7.964192,10.12816,5.735141,0.2438684,1.431372,2.678023,9.402949,2.775015,2.278876,-0.8091784,0.6136812,2.821421,1.670206,1.747104,-1.083519,-0.4566667,25.18844,1.886488,1.164856,5.252174,-0.6764671,7.527375,9.15065,1.02749,3.643557,4.482835,-2.484073,16.24466,3.900978,-0.3023378,0.04870616,8.647518,-1.004807,-1.747547,-1.497716,1.969764,0.04288066,18.81355,4.335916,3.059594,-3.416327,22.97393,1.798482,5.907948,6.193201,6.590037,5.793497,-3.335814,0.9427105,2.310051,11.35507,5.532961,4.060424,4.149495,12.16826,4.497815,8.126448,-0.5666884,30.55689,1.036743,19.15676
0.09992,7.035538,-0.3767185,15.96481,6.307973,15.88945,-0.472028,-3.083338,7.01599,0.7040952,6.117269,4.930289,0.9611593,4.621113,0.07276855,15.21671,10.28879,5.643196,2.915469,1.655576,2.24799,1.042192,2.111744,2.531518,1.216984,0.4955333,1.247121,10.70716,6.427277,7.421332,3.903307,2.946916,2.307143,6.426281,1.567637,1.608869,3.560677,18.60272,1.326573,1.627487,-0.513203,-1.438324,4.98141,0.88899,11.03232,10.03292,23.42559,-0.7580488,6.050098,0.8174007,7.705392,1.212065,3.066613,11.4334,1.44346,3.301372,3.685946,1.676228,12.26133,15.46317,5.478096,-2.932508,0.6010496,4.567605,2.425894,1.424756,0.240056,1.540951,2.265594,6.464621,-1.158351,-0.9852278,8.138707,3.281324,0.7413126,0.7531898,1.451543,3.229766,1.734563,1.187946,10.25693,4.366729,1.526178,3.354137,7.588878,9.515785,3.730782,6.151065,10.30744,4.368681,2.424711,1.222744,3.004487,9.887456,2.523285,1.905706,0.1467972,1.263304,2.035367,0.3007263,1.871505,-2.11117,0.6159793,24.96176,4.328804,2.142508,4.939167,-0.357621,9.816506,7.003344,1.047995,1.628819,3.909061,-2.900437,15.10044,1.319396,1.697198,0.1319044,9.948671,-1.533354,-2.690028,-4.276073,1.699733,0.7260227,16.78076,1.789015,1.660416,-2.52891,22.77448,2.209414,5.377201,6.461378,5.179133,8.70596,-1.995076,-1.620735,3.376729,9.395512,7.447393,2.927697,1.909397,11.48213,4.465333,6.515417,0.673338,29.50014,1.408981,19.41444
0.19984,7.411335,0.07105496,11.96003,5.307184,14.59498,0.5482236,-0.2116138,9.170037,1.056662,3.791041,6.096829,-0.69347,3.947064,-2.534538,13.29569,9.650179,3.604396,1.66321,2.355918,-0.6092178,-1.504693,2.606729,2.918912,-0.6328735,1.525901,2.162694,9.822962,8.734672,7.562528,4.297729,2.040781,1.612546,5.604074,2.933373,0.2999742,4.461039,17.32867,-0.3547793,2.397505,0.156862,-1.678334,3.370228,0.6447392,11.67626,9.786892,24.50784,-1.65112,5.730222,1.834519,5.414778,-0.8390369,2.535969,10.48095,1.240422,3.699092,3.451735,1.302018,12.24518,13.13641,4.229587,-6.05322,-0.4718809,4.596125,2.021982,0.8116798,-0.7916989,2.272702,0.2154091,7.231513,0.519646,-0.09942535,9.32707,1.252301,2.067183,-0.2983935,2.410908,-0.5503343,0.5911592,3.533257,12.12425,5.005577,0.331943,1.143468,4.865664,7.839309,3.488345,5.81017,7.463239,3.573587,0.4875338,1.807368,3.090828,7.184028,1.677226,8.475035,-0.1969618,0.2174868,1.825762,0.8655913,3.017762,-1.674985,0.4104316,25.2069,3.378723,5.558569,6.976639,-0.17888,7.968259,8.081564,1.843778,4.909705,5.281829,-4.55632,14.17691,4.546622,2.17356,-0.941478,8.86659,0.312148,-1.118522,-4.069449,1.713795,1.155594,16.69824,3.015576,4.21312,-4.759206,24.66851,3.533969,4.401798,7.49736,6.015928,10.57293,0.4730434,-0.2300539,6.38049,10.37736,4.682034,4.453457,5.655493,10.28591,4.56357,7.119965,0.4321887,28.48984,1.30602,19.44946
0.29976,8.22028,0.961898,12.91563,6.154386,16.072,0.7003128,1.183787,7.222789,0.8862539,8.33823,5.410326,1.03788,4.261261,-1.345998,13.13898,13.77485,4.287816,1.905129,0.3162233,2.650368,-0.3902647,1.726013,2.919824,1.66624,-0.3264864,-0.2820083,11.81905,6.971898,8.968913,4.360522,2.525963,-0.93005,5.80462,0.9594831,1.271553,4.283638,19.47046,0.1671618,0.3035954,-1.457991,-1.998534,2.260954,1.091116,8.508844,11.16174,20.831,1.641356,5.373827,1.93345,6.600084,-0.1482418,2.542174,8.968072,0.6388736,5.004941,5.261388,2.526206,13.68487,11.91775,4.717867,-3.949561,0.03711257,4.605024,2.235925,1.333935,-0.3702135,1.293469,3.805984,6.659749,2.001752,0.07185399,8.547157,1.60844,2.291849,0.4444616,0.5808357,1.732177,0.9191179,3.159946,14.08635,5.168617,1.621797,2.463273,5.447276,7.575975,3.430135,7.373658,8.507304,4.820792,1.171153,3.703825,3.007759,7.707284,5.159681,13.21239,2.122573,0.8784653,-0.9722082,-1.197998,1.260589,-0.4002287,2.240354,25.21955,3.518079,2.320196,6.904776,-0.880681,8.519823,9.138247,2.205425,5.440613,2.987182,-4.332456,13.50674,4.753644,1.47665,-1.78726,8.993415,-1.458566,-1.544691,-3.160506,3.449156,0.2002214,17.83176,4.235517,3.22028,-2.736802,24.19333,2.293868,3.674924,6.425234,7.161506,8.151252,-1.641604,0.3712229,4.740992,10.93769,6.161643,4.252792,2.992387,10.77979,4.730541,6.361518,0.2060941,28.20478,1.208299,19.98
0.39968,5.630706,3.524726,12.1958,2.946886,16.54171,-1.008052,1.696492,9.034863,0.1533566,8.019989,5.506227,-0.6251779,2.829934,-0.7344464,13.41807,18.14295,4.795979,2.682228,1.772792,1.080631,0.5880121,2.239182,3.598026,1.73689,-0.1485891,1.162111,12.37364,6.750374,9.531501,6.127456,0.8538299,0.9124098,4.810453,0.7498667,1.548201,4.205263,20.2432,-1.175952,1.19427,-0.7063848,-1.98941,4.185481,-0.8371269,11.89131,10.38964,22.63596,-0.1744383,4.971153,1.549316,5.741315,2.220516,2.465727,10.71122,0.2692752,4.241861,4.998211,3.880581,15.72549,10.10117,4.264799,-2.65136,-2.62608,3.146071,3.015131,1.388801,-1.38154,1.059344,0.4941601,7.961937,0.1285497,-0.986056,10.19471,1.440233,3.482119,0.1712481,0.5150238,1.26221,0.6608078,3.127249,15.55265,5.553367,0.963403,1.574832,5.478006,8.759295,4.205042,6.354472,8.73204,5.216061,0.506713,2.836326,2.585125,9.473993,2.885891,11.39901,0.1619052,-1.468451,-1.290997,0.317518,1.539399,-1.143447,2.309509,25.35221,5.135169,3.238603,5.936745,0.2351296,7.921726,9.94554,1.891959,3.443635,3.054673,-4.16397,12.1292,4.925497,1.766153,-1.481513,9.590645,-1.332647,-1.262058,-2.025215,3.049787,2.930083,15.96148,6.515774,3.25605,-2.899677,22.61547,3.381363,3.906116,6.696982,8.908295,10.93739,-3.342082,1.801986,3.37581,8.638453,4.566622,0.8598096,0.138832,10.39436,5.088212,5.717449,-0.005885383,31.21421,1.884319,19.70901
0.4996,7.460753,5.085163,14.83467,4.561731,18.06228,0.7240852,3.022164,9.571435,-0.1168825,8.62658,6.186986,0.4353437,0.5596815,-1.183954,12.84434,17.63601,3.94454,1.620362,3.27859,0.2571886,-0.604748,-0.9827214,3.436821,0.9726447,0.6873691,2.523226,9.672482,6.925542,8.358349,4.916462,2.000513,0.7204777,5.413274,-0.4955529,2.257363,3.290743,17.07657,1.838337,-0.262419,-0.07937256,-1.033043,2.735912,2.249012,9.887693,10.20576,21.05592,-1.670125,6.266713,3.63249,4.88721,-1.817591,1.364727,9.105683,3.319508,3.483865,4.368181,3.246127,17.24518,9.394286,3.582467,-3.184904,0.6253001,4.748881,3.154904,0.8085119,0.1853746,1.004444,1.265826,7.193452,1.205845,1.5961,9.131096,2.275484,4.192492,0.7358007,0.6655466,1.779577,0.8896301,1.419034,16.17615,4.449167,0.3762819,2.178144,5.449877,7.167083,4.384574,7.110257,9.441586,5.600437,0.123088,3.385679,3.23544,10.72013,4.771307,10.37167,-1.041488,0.7573413,-0.2578953,-1.153272,2.522693,-0.7737482,1.716173,23.73942,5.116811,3.07433,6.306133,1.277584,7.254081,9.098441,3.069044,2.855131,6.588127,-3.023925,14.01902,6.097762,0.9474483,-0.5759034,8.307656,-0.8210723,-2.495462,2.242692,1.939673,1.805634,17.28715,4.466354,1.833231,-5.263124,22.59685,3.758291,4.548983,6.969851,6.872358,9.888398,-1.44724,0.8917368,1.774606,7.757363,3.87692,3.610468,1.852275,10.63577,3.803864,6.118666,-0.2046308,30.12939,1.756595,19.28068
0.59952,6.749127,2.602761,14.28259,3.915825,17.10166,-0.6780818,2.500204,8.810907,0.5338304,9.769102,5.110778,0.4197028,-0.3553731,0.265387,10.80024,22.16738,3.027827,2.241378,2.05576,1.446697,2.964682,1.430003,3.45505,0.337944,2.360548,1.204174,10.34948,6.070644,7.71335,4.423993,0.3727134,2.766308,6.541269,1.126917,-0.0932338,4.294562,19.7692,1.640121,-0.3303213,-1.85074,-1.57844,3.277612,-0.7827949,9.780075,9.291464,23.7921,0.3514726,6.940414,1.535883,4.216885,-0.3174852,2.851674,8.926448,0.6437942,2.915407,3.853788,3.135473,17.70681,8.853698,4.162731,-3.042836,-3.447234,3.963467,3.657185,1.78845,0.6036351,0.6021852,1.119158,5.373047,-0.05514347,1.004391,8.692165,3.442304,4.278869,1.11502,1.239104,-0.5897961,0.781614,2.186547,17.71213,5.915724,2.139493,0.580803,5.300804,6.524894,3.822534,5.383168,7.357126,4.643995,0.3718534,0.7895232,2.854826,8.986655,4.86086,10.63539,1.472283,1.093467,1.482412,1.341861,3.625288,-2.033728,1.245541,25.20452,5.788651,4.634364,6.835604,3.762034,6.06502,9.241312,0.6968085,2.275534,3.900546,-1.843663,14.49252,6.357471,0.03479639,0.3209381,6.335569,1.297478,-1.876837,4.192358,5.479133,2.67765,17.62153,4.433836,0.5586849,-3.52296,21.04193,2.962122,3.669755,5.73524,5.102856,9.408351,-0.847957,1.046598,2.596733,8.831615,6.323433,1.864239,4.521812,9.65032,4.630707,4.135874,-0.3909689,31.15125,4.454742,21.6417
0.69944,5.128794,3.763534,14.26313,2.308929,17.25662,0.4683858,3.389708,8.353804,-1.016358,9.940909,6.14592,1.287366,0.07995929,0.5247024,9.79889,24.86801,4.727505,1.285519,4.019521,0.9078974,-0.6528069,0.9547583,4.679239,-0.1298837,2.431198,-1.966932,10.28749,8.687821,9.489792,4.158451,0.1931602,0.06401124,6.36485,0.6293408,1.020419,4.347886,18.64039,1.446365,1.392574,1.350375,-2.564071,2.588111,0.634001,8.226959,11.04239,22.76762,0.1045329,4.66771,3.55795,4.943124,2.508631,0.9112969,8.874958,2.186405,2.664996,5.474583,1.686538,14.56164,7.377652,2.425772,-0.9302734,-0.3720038,1.456038,3.19879,3.168064,-2.775996,1.730404,5.408877,6.837088,0.2736743,-0.3034897,10.793,1.288905,5.776726,1.181576,0.6246197,0.7615115,0.3699459,2.839871,19.80976,4.592999,1.243909,1.612938,7.473043,6.853199,4.954552,7.389837,8.342282,5.239598,1.551834,3.513628,2.927573,11.77822,5.203694,7.056383,-0.03089152,0.5655538,0.2619525,-1.137179,4.151346,-2.621384,3.105894,27.44278,6.383011,3.564103,8.366749,0.2279874,7.11383,10.38721,1.184959,2.422072,6.472249,-0.3564794,13.11386,3.459703,-1.63528,0.8774424,7.307868,-0.6479653,-1.43621,7.718616,7.301755,0.01443285,15.75151,5.88017,0.4291107,-4.765123,19.06544,3.863469,3.675489,8.010665,8.805883,7.837989,-1.308556,1.030092,1.718858,8.986441,7.679243,2.127704,3.262738,9.94475,4.546752,4.146038,-0.5656738,32.86092,4.19417,20.73826
0.79936,4.449599,2.703124,13.26244,3.825242,20.75014,1.24449,4.286813,9.361181,0.7909085,9.38965,6.90633,1.173955,0.2119383,2.677344,7.962946,26.67002,5.682781,5.266263,0.06049866,1.762267,-0.9735549,0.5288982,4.648958,0.7114327,5.61529,1.821663,11.37111,8.06082,8.676665,2.508412,-0.1157904,2.029943,6.738616,0.8634837,2.248535,4.816236,19.78184,-0.7487055,0.6084197,-0.4580554,-1.958096,1.164693,0.9148721,7.379437,8.573938,23.77669,-1.614471,5.196636,3.400464,2.883212,1.816545,0.2912833,8.241639,1.388514,2.248179,4.465673,0.3587795,15.38232,6.753635,3.099668,-1.775203,-3.1076,2.940613,3.696493,3.424731,-0.5023715,0.8918296,3.432031,5.434744,0.7903293,1.175601,9.625137,1.55914,7.639668,1.174043,2.481048,1.635036,-0.4813365,1.870007,21.41272,3.939007,0.9404203,2.120097,8.170873,8.19164,4.007923,6.733577,7.791824,3.865893,1.823929,3.023896,2.700613,11.56577,4.405693,8.331336,0.06540126,0.498245,0.2866862,-0.4675825,2.754151,-1.429541,2.078484,25.0815,6.196467,3.510006,9.864722,2.562318,5.417994,9.877626,1.868914,4.151809,4.964508,-2.73636,11.58833,4.85876,-0.938416,0.5262567,4.725584,0.3898947,0.1333932,10.22058,5.718934,1.929639,14.8063,3.768132,0.002604544,-4.262764,17.52343,5.867092,3.474613,6.647403,7.118399,5.594821,-0.6925498,1.685212,0.586848,10.10649,7.583491,2.843083,3.652612,8.372119,5.093124,5.212085,-0.729472,33.12986,3.946993,19.87862
