 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94
Time(s)/Cell Status,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,13.19903,9.641667,32.02827,-0.2892323,12.96821,-1.719975,9.137785,6.110083,1.372934,4.0518,1.9066,0.4860803,8.460649,2.30528,1.78861,-0.3982125,2.167621,-3.92061,1.198475,15.6878,4.667288,-3.859513,-2.366263,14.92634,4.235441,2.032662,12.5647,9.525863,5.111654,0.4315379,0.8836513,2.834881,-0.4317681,2.29109,5.000342,8.856857,23.13527,0.8114867,10.07414,16.39265,-1.149235,19.09412,-0.4807492,-2.451272,-2.389428,2.345329,0.7396212,6.108945,14.24911,2.684553,8.795509,4.238607,-4.763806,8.740661,-0.5192776,2.316194,2.619234,5.395172,1.617899,1.426244,0.001264928,13.73894,10.21581,7.698307,2.748899,14.19622,20.4796,6.189521,2.835128,1.822464,1.739629,10.50343,6.585408,-0.0562209,-0.2160028,5.639471,3.307956,5.93871,15.90431,0.8252273,5.170478,-0.6274339,10.20863,11.87792,11.3783,0.1232384,3.154714,-0.9987937,3.321347,2.107939,-0.1925931,15.2812,21.51431,0.4305031,3.3486
0.09992,12.35727,8.145106,32.24641,-0.5340527,11.25549,-0.4445855,10.73802,5.326063,1.283879,1.891668,2.905476,-0.7034902,9.824644,0.8471333,1.022588,0.7138798,1.73612,-2.078119,-0.7891775,12.87916,8.149016,-1.305315,-5.049623,15.31539,4.428883,2.540155,11.57052,8.955622,4.300085,0.7628646,1.5562,4.611544,-0.04577709,0.188064,6.171923,5.874922,20.6832,-0.1326021,10.48648,16.27578,-1.942567,17.23635,1.881101,-2.925276,-3.874834,3.63753,0.334066,4.486181,16.13465,1.146659,7.644336,1.725248,-2.151829,7.290875,0.4070426,2.332224,2.844811,6.369867,-2.239533,0.7677299,0.6846794,14.07782,8.566796,6.427139,1.505948,11.34127,19.97136,6.39644,-1.002779,1.924964,6.879692,11.70843,8.970687,-0.3583669,1.446107,5.04552,3.495778,5.668565,17.59859,0.2437087,5.582421,-1.051482,7.263372,13.90644,11.62406,0.4147378,1.331856,-0.9902515,6.012955,-0.35765,-1.541055,13.55239,19.42734,0.01625037,3.944214
0.19984,14.66536,7.726651,33.12984,-1.119248,14.9935,-1.170324,10.82825,5.480604,1.179739,3.575763,0.2975491,0.8481464,8.963914,0.6175235,0.5287617,0.704872,1.504637,0.1259573,2.179908,15.48619,6.699189,-2.48472,-5.642546,16.71979,3.726677,3.477575,11.73194,7.168398,5.296755,2.123854,2.973198,0.7162474,0.1317324,1.083849,6.511093,7.527096,22.09309,1.381667,8.003268,16.38064,-1.44075,17.48971,1.379438,-4.768608,-1.007147,4.185646,3.701175,5.539721,16.61635,3.536631,6.177642,1.246605,-2.848298,6.589873,0.33584,2.267455,2.267811,5.920349,0.5782909,-2.993991,1.029366,13.66697,9.684699,5.804749,1.807634,11.62742,19.32827,6.238615,-0.2011186,2.12328,6.720757,11.64108,6.953785,-1.109242,-1.220276,2.742591,4.330837,5.858511,15.66675,1.409818,6.346235,-0.1421291,8.150363,11.84819,9.601232,2.293535,2.130663,-0.5554559,5.831021,-0.2703577,-1.320873,12.97619,19.26035,2.462256,3.769712
0.29976,14.37705,8.919102,31.60347,-1.19247,14.4903,0.2260003,10.06621,10.09325,0.8866603,-0.5514943,4.218216,1.152025,8.275962,0.4578828,0.9859352,-0.04450648,2.260691,-2.626879,1.561306,15.61614,6.526814,-0.3814556,-2.831325,15.56177,4.457695,2.576785,13.97687,9.058413,4.94573,2.752446,0.7558534,2.108042,-1.123285,-1.111431,5.027376,8.276217,23.22828,2.577957,5.801496,16.23214,-1.481383,15.6278,0.9341601,-2.836545,-1.663636,2.740266,3.326576,6.344537,15.8516,3.467879,6.732249,1.252736,-4.87537,7.88448,-0.04787318,3.959322,2.632582,3.928504,0.04069548,1.905944,0.198319,11.81226,9.918334,6.547824,1.609611,9.828519,21.21405,4.802727,0.3063055,3.21279,6.478968,13.0315,9.710057,-0.3967981,-0.2403819,3.904586,2.032518,5.021021,15.75441,1.022949,6.079151,-0.71817,10.61236,12.30069,8.730227,0.2700284,2.312264,-0.8317462,5.251397,-0.6467527,-0.1009454,11.90085,16.47209,0.1170934,3.349069
0.39968,13.52683,8.722535,32.14055,-0.3810003,16.95533,-0.4223954,9.692616,8.364644,0.5522181,0.5466129,9.922787,-0.3783812,10.04652,0.2501256,-0.4485314,-0.6707121,0.02520957,2.297535,0.7603883,18.707,8.292003,0.09213381,0.3239789,15.84393,7.349839,2.422347,18.52734,10.41469,5.721431,-0.5803323,0.5019659,5.086948,-0.5262731,1.891044,4.878722,8.239333,23.9321,3.836364,9.62574,18.7884,-0.853623,17.48707,1.052098,-4.862245,-2.722675,3.3018,5.6017,5.451697,14.27247,4.737921,4.663511,4.769389,-3.117467,7.845025,1.310387,1.751227,1.639198,4.309951,0.2284488,2.287304,1.045338,13.50058,13.18896,5.717988,1.557716,10.21954,22.26265,4.352292,2.388029,2.620372,6.643377,10.5514,9.435365,-1.105286,-0.5864186,3.100549,2.341812,3.641519,14.70574,0.9287585,4.224445,0.8754225,11.59214,12.37848,8.868404,0.2748865,1.903234,2.0993,3.067534,-3.357494,-0.6078491,12.08347,19.01859,0.5751507,1.72328
0.4996,14.09499,9.334091,29.50677,-1.170801,19.35642,0.5471236,7.953848,9.9385,-0.2985546,-0.417951,13.32981,0.5735061,10.96926,-0.05345192,-1.058545,-1.849391,0.1390107,3.211194,-0.5025551,16.95816,7.047308,0.3568306,0.6823266,14.41286,4.402082,-2.023691,22.49398,10.62706,3.781987,1.576814,-0.8407887,2.851277,0.5473098,2.729591,3.004857,9.521737,24.91797,2.380214,7.11352,19.32147,-0.2975924,15.71562,-0.5797395,-2.14639,-3.191354,2.832935,4.467875,4.59229,13.42366,3.515198,5.57202,3.462415,-2.877931,8.169953,0.5764887,1.332089,0.5169542,2.363755,-0.1016195,1.322823,1.613421,17.42415,11.30269,6.118067,2.264976,11.62143,26.61131,4.87211,-1.847789,4.365942,3.897958,9.988899,10.37531,-0.7359632,-1.35235,4.588712,2.335086,2.924154,16.3286,-0.7015308,4.814678,-0.1214828,11.16187,11.91273,9.505733,1.442112,2.068157,2.785998,2.533579,-1.414041,0.2464683,12.87442,20.10101,3.121166,2.691655
0.59952,14.97378,8.518847,29.63548,-0.2877008,18.91931,2.629089,8.36568,11.06074,0.5235934,-1.506726,12.78516,1.874966,12.49388,-1.010765,-0.8221087,0.5250144,0.3315025,2.976443,-0.5978091,17.12832,4.725216,0.7904776,0.05748728,14.94593,6.216068,0.7897034,27.91774,9.645129,5.116015,-0.3700347,0.4810937,4.053105,-0.3101921,2.410888,3.891799,9.077435,24.81554,1.261219,9.276429,18.24607,-0.8828188,16.09986,0.1256832,-1.62065,-1.921107,3.51012,4.360812,5.070507,16.0258,3.796936,7.259151,3.287146,-3.932245,6.466131,0.4424485,1.901722,1.197013,3.665608,-0.1760529,-0.5842524,-1.039027,15.95861,13.17303,4.98893,2.427444,11.93909,27.65686,5.271382,0.3990402,5.347623,4.596211,11.65838,7.81988,-1.612511,-1.011226,1.777657,1.629257,3.53781,19.77991,1.343895,4.212611,1.92663,10.55174,11.75942,9.840417,0.8320055,3.191556,2.464911,2.089593,-1.477055,-0.3243925,12.87048,20.859,1.428935,1.951123
0.69944,15.9624,9.853038,29.21724,-1.542889,19.4963,1.809086,9.123158,8.133615,-0.1794253,-0.6950376,13.33485,-0.1541598,11.53496,-0.4856207,-1.088363,-0.8981321,0.8831421,4.019275,1.065397,16.80499,5.392406,0.3818657,0.8345172,15.47588,4.42252,1.460349,32.88128,12.91309,3.985867,1.733549,-1.018575,3.393813,-0.5000768,0.7548624,3.119198,8.599379,25.59462,0.8603423,8.760139,19.82781,0.4816996,16.67502,1.36334,-0.4307262,-3.167116,1.211578,5.891411,4.580264,14.96714,3.606445,8.479049,3.871655,-3.171297,6.48361,-0.003023237,1.016872,1.94674,3.831485,-1.276538,1.349688,-0.2005124,14.37542,11.89117,5.266292,0.9536921,11.23803,33.21918,2.570911,-0.4689358,6.53189,5.668637,11.06122,8.305034,-2.006583,0.4750247,4.701122,1.375706,2.909331,20.23745,0.5728014,5.027105,0.544124,10.18929,13.58868,9.589689,0.8126995,3.0252,2.073458,4.370579,-3.556857,1.581069,11.50363,23.56002,-1.244628,2.046268
0.79936,17.96836,9.421951,29.64242,-1.112577,20.51106,3.416962,9.401441,6.824195,0.06686912,-1.779927,11.95215,-0.6141973,12.74185,-1.632757,-0.6196231,-1.41736,-0.02242062,1.91291,-1.661614,15.91677,7.672012,-0.717576,2.244757,13.28567,4.657529,-0.4571039,35.29627,13.48854,4.374418,2.429373,-1.737733,3.309021,1.05631,2.094085,2.092882,7.81923,27.68615,-0.3899718,9.555051,16.78183,-0.9152313,17.65733,-1.182573,-1.787405,-3.950454,0.4063795,6.257077,5.403166,15.53563,4.464085,6.79901,4.40212,-1.981223,6.407215,2.209346,0.7942803,1.850315,2.805471,0.04217179,0.9452462,0.5948905,13.66655,12.98287,5.793039,1.07437,11.4365,34.66708,4.736576,0.3708475,5.80263,4.650133,10.8976,7.753763,-1.498166,-0.8078757,3.010964,3.884708,-0.2453148,22.98655,1.241623,3.986805,-0.1604679,9.309525,12.94379,7.353089,0.8556648,3.698285,1.813841,1.849176,-1.329282,0.9894363,10.91815,20.65677,-0.3989707,2.484923
