 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85
Time(s)/Cell Status,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0
0,12.96839,1.976971,7.780531,0.1107073,3.002284,30.91927,6.655243,7.427143,3.114385,17.38053,3.874728,3.276416,-0.833002,5.215321,-0.1625364,0.02933785,4.965653,4.399822,-1.298756,12.70432,17.53513,6.24574,12.43389,11.35573,6.599638,8.427428,4.728848,7.901084,0.4757476,7.506055,6.598137,3.502124,7.678824,12.59679,5.666425,4.514294,0.7334359,11.04812,7.825085,-1.033921,0.09374862,2.089369,5.017587,2.310843,2.237735,-0.9336565,3.68036,10.65857,1.587181,3.650246,0.8401713,4.347977,0.9168559,0.1923903,3.119124,0.806915,5.71443,-2.378106,8.845524,5.647813,6.447224,13.68936,5.585459,9.248198,6.120251,1.149158,-1.242187,1.211982,1.79232,-0.02532153,-0.01807116,3.151666,6.015609,4.991043,21.19565,0.7186741,27.14654,0.7478532,0.2173617,10.31079,9.162639,5.147904,3.559884,2.682214,4.939941,3.637298
0.09992,12.92743,1.132004,5.844286,0.498198,3.74128,31.93089,6.323788,5.606091,-0.4804521,22.24072,3.240551,4.723878,2.175201,3.467263,1.238946,0.1204443,2.266754,5.71109,0.363553,9.500454,14.48717,9.226236,11.85277,12.64536,4.200571,8.400558,4.310431,9.227201,1.441375,4.544129,8.667415,4.539537,10.89944,12.8395,3.684338,3.575915,3.352623,8.118025,6.021328,-0.03500549,0.332685,0.07112253,4.541489,3.621463,1.007623,-1.379295,3.313637,9.886889,2.742043,4.27623,1.535164,3.618609,0.7179005,2.132428,2.324041,2.270775,4.889003,-1.603979,9.683642,7.120885,6.711882,12.61245,1.832321,6.742102,7.114689,2.624371,-1.586102,0.307547,2.714267,-0.5159222,-0.5860174,2.842818,5.074269,3.059475,21.3395,-0.07086029,24.59201,1.429442,0.7326135,10.41074,7.149043,2.71988,2.68532,4.20984,7.182302,3.637298
0.19984,10.34612,2.111072,3.311951,0.7962677,2.392119,30.97147,6.425404,7.844754,1.257504,22.96248,3.061194,4.39259,0.4427269,5.490599,0.7356252,-0.2805416,3.423087,5.459425,2.52822,10.17806,15.28769,9.387321,10.5321,12.63436,5.259221,7.507858,3.430909,7.023894,2.198049,4.246299,7.831526,4.921402,9.680834,10.42754,3.996511,3.083785,2.167418,10.55032,7.302655,-0.5806199,0.8877936,-1.187805,1.960543,6.013272,2.495034,0.3495361,3.299079,10.68631,4.695802,4.911757,1.47472,5.170513,0.1495973,1.672485,1.945278,2.359339,5.517384,-2.980289,10.0345,6.565181,8.216625,11.23174,3.657493,6.899134,8.424026,2.2869,0.9113066,0.530716,2.147896,0.3134169,-0.4243079,1.898337,5.092032,4.537189,19.12461,2.080999,22.52445,0.6128148,0.1623776,9.850221,7.668525,4.270558,4.411446,3.678607,4.653712,3.637298
0.29976,11.29705,3.375578,3.823261,1.598013,4.178675,31.88245,7.289375,5.866101,3.302628,20.00943,2.524853,4.507564,-1.354958,4.833249,-1.496692,1.387124,2.68848,5.560201,-1.105103,10.35062,17.75006,8.701294,10.74875,9.79499,4.30079,7.615243,2.836139,4.892653,-0.3143539,3.420375,7.063871,4.257425,9.257831,10.54037,6.351965,4.417115,3.727984,11.48806,7.857554,-0.206872,-0.339031,0.3055605,4.490658,3.677172,2.387022,-0.8082961,1.609065,12.10515,14.23311,6.093192,0.9794163,3.578716,-0.9443865,2.82517,-0.2601667,3.481703,2.201753,-0.9941794,9.254726,5.219257,8.829561,11.08796,4.421069,7.735406,8.477127,3.975379,-2.68626,-0.769885,0.7356762,-1.61062,-0.6643556,3.108769,5.274443,4.375046,17.66208,4.271098,23.02549,1.794106,0.545366,10.41255,5.938006,4.362373,2.697796,4.565461,3.740938,3.637298
0.39968,10.34878,5.019143,6.142528,0.9558354,2.797614,30.39126,7.203399,6.791492,2.154683,19.59492,3.3306,3.390178,-0.6508117,3.336815,-0.3121168,0.7677384,1.827531,5.083997,1.533897,9.860696,18.71554,8.754518,9.230636,9.933449,4.907604,9.285552,3.602668,6.126861,2.311076,2.048523,8.163625,5.233719,11.365,9.471849,5.684579,4.775455,4.527244,8.740849,6.393846,-1.244915,0.8937823,-1.69019,5.393123,4.760427,1.668263,-0.7519432,2.847862,11.49519,22.70917,5.11642,0.02218222,5.029115,-1.651434,4.614158,-0.8017757,3.003393,2.702211,-0.5849469,8.073396,4.494834,9.951752,10.27603,8.411251,6.679117,7.85501,2.277559,-2.865589,1.215921,1.197121,-1.991812,-0.8160596,1.54191,5.779666,4.3667,18.44814,3.307706,23.36626,2.86271,-0.5024329,10.73013,6.171484,4.666172,5.144204,3.500862,4.466558,3.637298
0.4996,9.345062,7.598289,7.765707,0.3900659,1.328291,29.34153,8.727972,8.043353,1.746682,18.30494,3.948291,0.5569224,0.7558861,2.257787,-0.3532693,0.8651888,1.748158,3.28762,0.768948,10.5823,19.84865,6.36063,12.15729,8.389541,4.272064,8.569617,3.745281,5.31531,-2.079659,3.16084,6.066178,5.164365,12.18004,9.32253,6.489739,3.968463,3.504555,11.27758,7.803222,0.2966717,-2.036925,-2.001375,5.425589,3.796125,1.011891,-0.07491373,2.568625,12.78908,31.53845,3.708294,-0.7386867,4.674533,-0.4625682,3.535026,-1.663652,4.314329,2.310951,-0.3201899,7.779511,5.606096,9.584949,10.29727,10.4092,8.330951,7.314021,4.366152,-1.314507,0.3182367,2.573582,-1.342961,-2.247303,2.093449,6.342558,5.261372,18.32399,4.010087,24.09404,0.5055201,-0.7509782,11.94077,7.100209,5.648002,2.419043,3.078645,5.181005,3.637298
0.59952,12.0013,6.365593,7.453386,1.74027,1.525602,28.9385,7.903241,6.21007,0.3437963,18.04692,4.301425,2.13407,-2.133266,2.533293,1.485877,2.847957,1.288707,5.621137,-0.7819224,9.258047,19.44785,6.801067,9.932718,9.00389,4.421718,8.632434,5.021253,6.811295,-0.1320009,2.638749,7.796584,3.354988,12.37131,8.728448,6.289059,3.807196,3.771339,9.499057,4.484767,-1.797052,0.3181816,-1.638498,4.369431,3.472204,1.261348,-1.019284,2.61962,10.88264,35.84149,4.963648,-0.5949395,6.520038,0.217616,3.735193,0.4007914,4.96808,5.297655,-0.7699201,7.756699,7.620663,9.493977,9.142959,7.428107,6.879769,6.862689,3.873486,0.507049,1.222634,0.03179238,-0.5065907,1.597783,3.384881,6.512101,4.590305,16.68988,2.964014,19.90758,0.6366044,-2.328339,9.659625,5.494093,3.952068,1.898378,1.866222,3.37308,3.637298
0.69944,10.87216,6.682631,3.581146,0.2953248,3.390915,29.35094,5.979655,5.60491,-0.1099129,19.50315,5.213139,3.397073,-1.484872,3.144315,-0.3751652,0.05999022,3.593398,3.891325,1.024595,6.372879,15.51885,7.360972,8.938559,7.574352,3.946698,6.978407,3.535526,6.466668,-1.070573,4.041304,7.280298,4.735017,10.82607,8.277581,6.733709,2.966074,1.36436,5.839465,6.487846,1.19945,0.499708,0.1092184,3.717053,2.556705,1.425409,-0.2821676,1.634642,10.68277,42.61931,6.598869,-0.6529134,3.659709,-0.2826817,4.08683,1.280018,3.317663,1.081264,1.47952,8.132068,6.183784,11.30791,9.460879,6.713566,7.435609,7.646565,4.079278,-2.205042,-0.01391947,1.864245,-1.499208,0.3034875,2.370118,5.980673,6.375594,17.08804,1.654084,21.5792,-0.0303406,-1.11704,10.32312,5.168549,1.44053,1.912914,1.430058,3.244398,3.637298
0.79936,8.718206,5.528461,2.35267,-0.1990839,0.8057079,26.5365,7.610771,7.723062,1.777648,15.99644,3.731833,3.041019,-0.6629807,1.747513,0.2852957,-0.9411052,1.553238,3.509243,2.088082,7.286524,17.24548,5.35411,9.196733,10.16841,4.789804,7.426107,3.254233,8.310636,-0.908997,3.230422,6.175796,4.388885,13.71903,8.082357,5.559464,2.294265,3.230748,7.187387,5.55176,5.549458,0.2012742,0.1038401,4.946098,1.428191,0.3249535,-0.4288406,3.093334,10.10993,46.34591,6.00218,0.409381,6.35933,-0.5294456,4.121783,-1.074453,4.385971,0.3985405,0.6051659,7.669187,6.908198,11.25197,8.146525,5.198442,7.489231,6.612276,2.926806,-1.739694,0.8887312,2.382532,-2.67565,1.47429,0.7644337,5.359529,7.075871,16.38726,1.216354,20.40568,2.77155,-1.886082,12.48885,5.47813,3.657892,1.997241,1.006187,6.090755,3.637298
