 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72
Time(s)/Cell Status,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
0,6.719547,4.69993,7.313818,1.651025,29.37578,1.907628,4.344745,0.2399616,3.411307,1.756919,-0.9057859,-4.026205,-0.3518624,0.6132681,-1.659501,30.34603,-1.787999,1.608181,18.77789,3.50617,4.241394,11.63324,11.59146,5.039446,1.018376,0.3251002,2.412638,6.111717,3.445805,3.306401,5.353993,7.581021,3.482195,9.119603,2.442397,7.761397,3.158736,2.658941,0.9749775,-0.06055442,5.674939,11.64515,2.432935,6.057305,0.5261157,-0.001545253,1.232253,-4.850073,1.888539,12.64809,1.297344,23.25001,16.09151,5.123739,2.492433,14.48112,0.5204211,9.537179,0.09919966,-1.767774,0.9976053,14.76272,3.586537,4.863421,-2.466007,24.97779,-1.536672,4.61174,1.905466,-0.7045042,2.70059,2.390452,4.785295
0.09992,5.731265,3.849236,5.437024,0.2464662,28.58075,1.964401,4.956783,1.339694,1.072511,1.001592,1.024891,-2.234951,-1.242984,-2.01634,-4.074287,31.79102,0.6545154,3.093396,19.42104,1.489908,3.192772,16.45932,9.954799,3.424439,-1.513529,-1.258788,4.236048,3.962402,0.9637039,6.505118,3.343246,9.697026,1.328169,10.05857,0.2798991,7.612893,3.894421,-0.1674697,2.658689,2.168923,6.326616,8.584208,2.115824,5.735083,1.622898,0.7127371,3.246493,-3.487813,1.679617,11.77589,0.2102473,20.72883,16.71902,5.96111,3.926386,13.49658,2.107255,8.788114,-1.245106,-2.474788,2.032868,15.17006,3.68918,3.184523,-0.9447148,23.79217,-1.059357,4.42905,2.062869,0.3614161,2.810166,2.585649,6.065687
0.19984,5.14216,2.419942,6.835916,1.075514,27.85734,2.700877,4.457825,1.634088,0.07527772,-0.1074783,1.335554,-2.515534,1.36371,-0.9971346,-3.698242,33.92846,-0.1077454,2.287436,18.78692,2.625128,1.974271,21.96484,7.591161,5.302021,1.754184,0.7754377,-0.7938014,3.702944,2.072703,6.588417,3.485358,10.42545,4.263599,7.60164,0.8620762,7.989563,0.654192,-0.3041376,2.714228,2.098569,5.687192,10.64431,0.2152054,7.696187,2.447073,0.5896173,1.517986,-4.553319,1.717371,11.88512,0.3426709,21.93853,16.10594,6.866657,3.226116,14.08238,1.34711,10.0132,1.514165,-2.579877,2.694195,14.90824,1.973268,2.225305,-1.466876,26.27857,-2.63474,1.363813,2.523057,-0.7174565,2.499985,1.515005,5.406872
0.29976,3.704566,0.881775,6.000728,-0.6479429,27.72436,0.3929264,3.161941,-0.2903099,1.291959,0.009569266,1.72346,-3.375965,1.609589,-1.115433,-3.873142,32.62507,1.106025,3.168361,16.78358,4.411915,3.668276,23.5679,5.823605,4.180319,1.063931,1.456262,1.360293,3.534757,3.415472,4.933838,3.095175,10.07939,1.596611,9.162127,3.23789,8.644965,3.446939,0.390878,3.188737,2.734536,4.102018,9.284597,1.463954,8.391778,1.960652,1.658726,-0.002295756,-4.277761,2.638891,13.12194,0.9352356,20.57025,15.6358,5.762134,2.444505,13.19433,-0.03658167,8.967322,1.892974,-3.277802,2.742776,16.23788,3.767099,1.734265,-0.5596258,27.70597,-1.837395,3.352089,1.629155,1.098075,3.290059,3.325778,4.781518
0.39968,4.777984,2.136741,8.406676,-0.7581446,26.29413,0.478031,2.996334,0.9967691,0.7108312,1.413256,0.1226218,-2.453521,-0.2144231,0.8182414,-4.521149,31.00193,-1.121802,1.842455,18.62741,4.246874,3.375924,21.26334,5.499254,3.268424,-0.03871407,0.6287708,-0.9622021,2.850779,2.854369,5.088823,1.494705,9.454165,3.516417,6.591612,1.632322,7.48775,3.753585,2.00175,2.55491,1.174543,2.709173,9.743011,1.305115,7.432292,1.102091,0.04622369,3.780262,-5.25655,1.286518,14.70183,0.2024617,19.1766,16.06943,6.593679,2.191173,16.30488,0.08304157,9.21941,0.9878159,-3.080796,1.767132,15.45719,2.941497,3.144685,-2.550682,26.04223,-0.6889908,2.777916,1.827213,-0.03896287,4.186987,3.405158,4.187923
0.4996,4.180042,2.322108,8.416687,-0.9959071,27.23183,0.3982539,1.547246,-0.1319083,1.4812,0.0276801,0.2920156,-0.2279205,1.695387,-0.9909324,-5.21008,28.21823,2.224453,1.458002,18.45273,4.560733,2.950865,20.97845,6.804732,3.989335,-0.7826777,2.422982,-0.5146693,4.091325,3.881068,5.740994,3.15365,10.18133,2.441138,6.735435,3.672946,8.242053,2.518279,1.240309,4.188958,1.525833,4.706285,10.04074,0.8363385,7.785132,3.385068,2.210723,2.584443,-3.440346,3.34624,15.25129,1.885163,18.93534,13.61867,5.4002,3.997659,14.4965,1.208035,7.040265,0.8264713,-1.342622,2.889304,13.44821,3.183195,0.5064135,-2.360737,26.68901,-1.961846,2.414839,4.249915,0.6316791,4.300999,4.230727,6.032893
0.59952,5.241427,3.090338,10.03844,-1.973128,24.27617,-0.4200834,2.810107,1.511545,1.236618,1.645957,2.272992,-2.341088,-0.9690618,0.1449329,-5.546458,27.24652,-0.8263886,2.236828,17.58319,4.606166,3.465658,21.16003,4.781589,3.236792,-0.2226471,3.352739,-0.3474569,3.641981,1.305722,4.563982,1.465772,10.02542,1.960103,7.718474,3.483619,8.222136,1.605617,0.8369423,5.299586,2.008645,4.070189,10.03094,0.3434682,5.405594,2.117516,1.049892,2.640636,-3.104646,3.9169,14.19735,2.885033,18.22773,13.05576,5.960959,4.524109,14.01186,-1.940132,9.864655,2.01385,-2.550531,1.788914,11.29547,3.350939,4.1907,-1.883979,25.98136,0.3766197,3.162532,4.188283,-0.3362529,3.695517,4.46373,5.374828
0.69944,4.186346,2.609242,10.45314,-0.6312686,25.01937,0.8134738,3.190218,1.445581,1.149677,5.575484,2.200114,-1.939789,1.404054,0.1432906,-5.6107,25.87209,-0.2528666,1.96344,19.48504,2.694548,1.61246,17.62781,3.972559,1.429742,-0.115605,3.116069,-3.046096,5.275466,3.543877,4.797651,3.492924,10.92328,1.117371,6.76089,3.512525,7.95961,1.624227,0.3242427,4.465495,0.7541701,3.630302,9.559145,1.718987,4.961642,3.845969,2.649862,3.390723,-3.131931,1.945927,14.77145,2.837929,20.55003,13.87865,4.697831,3.440944,13.88145,0.03417666,10.49621,1.998388,-2.474802,3.911582,9.273954,3.395485,4.767169,-2.892954,25.60341,-0.7436976,3.146732,3.305369,0.7532963,5.422745,5.297842,4.750227
0.79936,4.575459,1.113182,11.76971,0.7530687,26.02426,-0.8858072,2.002558,0.6635475,-0.6022633,3.60536,3.838797,-1.691622,1.951155,3.648915,-4.789578,24.27862,1.602793,2.324357,19.2977,3.778565,2.255367,19.69827,4.368016,4.529517,1.608466,2.383067,-2.936376,4.217953,2.370765,4.699731,4.437879,10.44001,2.123222,4.823512,3.915061,9.877103,0.8168437,-0.8146099,3.854456,4.077595,4.130907,8.817079,1.168699,6.812188,2.637815,-0.1629443,2.277947,-3.642645,0.7644674,15.69892,1.251515,21.57487,14.48193,4.245005,4.109964,12.7613,-2.91593,8.023479,2.04802,-1.745829,1.836395,8.994727,3.004543,3.498276,-1.305477,25.62493,1.064411,1.612894,3.782929,0.5298598,3.574948,4.712581,4.157388
